	1	
우리 같이 사진찍자.	让我们一起照张相吧!	ràng wǒ men yī qǐ zhào zhāng xiàng ba !
좋아. 몇 장 찍어서 기념으로 남기자.	好，多照几张，留作纪念。	hǎo ，duō zhào jǐ zhāng ，liú zuò jì niàn 。
	74	
환송회에 참가한 사람이 정말 많구나.	参加欢送会的人真多。	cān jiā huān sòng huì de rén zhēn duō 。
실습을 간 사람을 제외하고는 모두 왔어.	除了去实习的以外，都来了。	chú le qù shí xí de yǐ wài ，dōu lái le 。
프로그램이 시작됐다.	开始演节目了。	kāi shǐ yǎn jiē mù le 。a
메리야. 중국어로 노래를 불러봐.	玛丽，你用汉语唱个歌吧。	mǎ lì ，nǐ yòng hàn yǔ chàng gè gē ba 。
내가 다 불렀으니 이제 너희들 차례야.	我唱完就该你们了。	wǒ chàng wán jiù gāi nǐ men le 。
각반의 프로그램이 참 다양하고 훌륭하구나.	各班的节目很多，很精彩。	gè bān de jiē mù hěn duō ，hěn jīng cǎi 。
동기들과 선생님들께서 이처럼 열정적으로 우리를 환송해주니까 정말 무슨 말을 해야할지 모르겠어	同学和老师这么热情地欢送我们，真不知道说什么好。	tóng xué hé lǎo shī zhè me rè qíng dì huān sòng wǒ men ，zhēn bú zhī dào shuō shí me hǎo 。
좋은 성적을 받은 것 축하해.	祝贺你们取得了好成绩。	zhù hè nǐ men qǔ dé le hǎo chéng jì 。
너희들의 중국어 실력이 더 빨리 향상되길 기원할게.	祝你们更快地提高中文水平。	zhù nǐ men gèng kuài dì tí gāo zhōng wén shuǐ píng 。
	75	
짐이 이렇게 많으니 비행기를 타면 분명히 중량초과일거야.	你这么多行李，坐飞机的话，一定超重。	nǐ zhè me duō háng lǐ ，zuò fēi jī de huà ，yī dìng chāo zhòng 。
그럼 어떻게 하지?	那怎么办？	nà zěn me bàn ？
우체국에서 부치면 가격도 매우 비쌀 뿐 아니라 이렇게 큰 짐은 부칠 수도 없어.	邮局寄不但太贵，而且这么大的行李也不能寄。	yóu jú jì bú dàn tài guì ，ér qiě zhè me dà de háng lǐ yě bú néng jì 。
배로 부칠 수 있어.	可以海运。	kě yǐ hǎi yùn 。
배로 부치면 시간이 얼마나 걸릴까?	海运要多长时间？	hǎi yùn yào duō zhǎng shí jiān ？
확실히는 기억나지 않는데, 탁송회사에 가서 물어보면 될꺼야.	我记不清楚了，我们可以去托运公司问问。	wǒ jì bú qīng chǔ le ，wǒ men kě yǐ qù tuō yùn gōng sī wèn wèn 。
아, 생각났다. 작년에 리청르도 짐을 부쳤어.	啊! 我想起来了，去年李成日也托运过。	ā ! wǒ xiǎng qǐ lái le ，qù nián lǐ chéng rì yě tuō yùn guò 。
잘 됐다. 내일 내가 가서 물어볼게.	那好，明天我去问一下儿。	nà hǎo ，míng tiān wǒ qù wèn yī xià ér 。
	76	
말씀 좀 묻겠습니다. 여기서 짐을 부치나요?	我打听一下儿，这儿托运行李吗？	wǒ dǎ tīng yī xià ér ，zhè ér tuō yùn háng lǐ ma ？
예. 어디로 부치려고 하시는데요?	托运。你要运到哪儿？	tuō yùn 。nǐ yào yùn dào nǎ ér ？
일본이요. 시간이 얼마나 걸릴까요?	日本。要多长时间？	rì běn 。yào duō zhǎng shí jiān ？
한 달이 좀 넘게 걸립니다.	大概一个多月。	dà gài yī gè duō yuè 。
운송비는 어떻게 계산하죠?	运费怎么算？	yùn fèi zěn me suàn ？
이 가격표에 따라 계산합니다. 짐을 이 곳으로 가져오세요.	按照这个价目表收费。你可以把东西运来。	àn zhào zhè gè jià mù biǎo shōu fèi 。nǐ kě yǐ bǎ dōng xī yùn lái 。
제 짐은 너무 커서 혼자 옮길 수 가 없는데요.	我的行李很大，一个人搬不动。	wǒ de háng lǐ hěn dà ，yī gè rén bān bú dòng 。
괜찮습니다. 손님들의 편의를 위해 저희가 가지러 갈 수도 있습니다.	没关系，为了方便顾客，我们也可以去取。	méi guān xì ，wéi le fāng biàn gù kè ，wǒ men yě kě yǐ qù qǔ 。
너무 번거롭게 해 드리는군요.	那太麻烦你们了。	nà tài má fán nǐ men le 。
	77	
준비는 잘 되가?	准备得怎么样了？	zhǔn bèi dé zěn me yàng le ？
지금 짐을 정리하고 있어. 봐, 너무 어지럽지?	我正收拾东西呢。你看，多乱啊!	wǒ zhèng shōu shí dōng xī ne .nǐ kàn ，duō luàn ā !
도중에 쓸 물건은 핸드백에 넣어. 이렇게 하면 쓰기가 편하니까.	路上要用的东西放在手提包里，这样用起来方便。	lù shàng yào yòng de dōng xī fàng zài shǒu tí bāo lǐ ，zhè yàng yòng qǐ lái fāng biàn 。
그렇지. 몸에 지니고 가는 물건은 그다지 많지 않아. 트렁크 두 개는 이미 부쳤어.	对。我随身带的东西不太多，两个箱子都已经托运了。	duì 。wǒ suí shēn dài de dōng xī bú tài duō ，liǎng gè xiāng zǐ dōu yǐ jīng tuō yùn le 。
미안해. 널 공항까지 마중 나갈 수 없어.	真抱歉，我不能送你去机场了。	zhēn bào qiàn ，wǒ bú néng sòng nǐ qù jī chǎng le 。.
괜찮아. 바쁘잖아.	没关系。你忙吧。	méi guān xì 。nǐ máng ba 。
아직도 못한 일이 있다면 내가 대신 해 줄게.	你还有什么没办的事，我可以替你办。	nǐ hái yǒu shí me méi bàn de shì ，wǒ kě yǐ tì nǐ bàn 。
사진을 좀 현상했는데 찾으러 갈 시간이 었없어.	我冲洗了一些照片，来不及去取了。	wǒ chōng xǐ le yī xiē zhào piàn ，lái bú jí qù qǔ le 。
토요일이나 일요일에 내가 대신 찾으러 가고 나중에 너에게 부쳐줄게.	星期六或者星期天我替你去取，然后寄给你。	xīng qī liù huò zhě xīng qī tiān wǒ tì nǐ qù qǔ ，rán hòu jì gěi nǐ 。
	78	
왔구나! 널 기다리고 있었어.	你来了，我正等着你呢!	nǐ lái le ，wǒ zhèng děng zhe nǐ ne !
짐 정리는 다 했니?	你的东西收拾好了吗？	nǐ de dōng xī shōu shí hǎo le ma ？
그럭저럭. 이번에 기차도 타고 비행기도 타니까 굉장히 번거롭다.	马马虎虎。这次又坐火车又坐飞机，特别麻烦。	mǎ mǎ hǔ hǔ 。zhè cì yòu zuò huǒ chē yòu zuò fēi jī ，tè bié má fán 。
그래. 밖에 나가면 집에 있는 것과는 달리 번거로운 일이 많지. 이 몇 개의 가방을 모두 들고 가야 하는 거야?	是啊，出门跟在家不一样，麻烦事就是多。这几个包都是要带走的吗？	shì ā ，chū mén gēn zài jiā bú yī yàng ，má fán shì jiù shì duō 。zhè jǐ gè bāo dōu shì yào dài zǒu de ma ？
응, 모두 가벼운 거야.	是的。都很轻。	shì de 。dōu hěn qīng 。
네 개의 작은 가방은 두 개의 큰 가방만 못해.	四个小包不如两个大包好。	sì gè xiǎo bāo bú rú liǎng gè dà bāo hǎo 。
좋은 의견이다!	好主意!	hǎo zhǔ yì !
새로 정리하는 걸 도와줄게.	我帮你重新弄弄吧。	wǒ bāng nǐ zhòng xīn nòng nòng ba 。
또 폐를 끼치는구나.	又给你添麻烦了。	yòu gěi nǐ tiān má fán le 。
무슨 말이야.	哪儿的话。	nǎ ér de huà 。
그리고, 만약 나에게 온 편지가 있으면 나에게 전해줄래?	另外，要是有我的信，请你转给我。	lìng wài ，yào shì yǒu wǒ de xìn ，qǐng nǐ zhuǎn gěi wǒ 。
물론이지.	没问题。	méi wèn tí 。
	79	
이륙시간까지 아직 멀었어.	刘京：离起飞还早呢。	líqǐfēiháizǎone
우리 대기실에 가서 잠시 앉아있자	玛丽：我们去 候机室坐一会儿。	wǒmenqù hòujīshì zuòyíhuìer
장리잉이 아직 안 왔네.	王兰：张丽英还没来。	zhānglìyīngháiméilái.
저기 좀 봐. 지금 뛰어오고 있네.	刘京：你看，她跑来了。	nǐkàn,  tāpǎoláile.
차가 너무 막히는 바람에 시간이 지체되어서 늦었어.	丽英: 车太挤，耽误了时间，我来晚了。	chētàijǐ，dānwùleshíjiān，wǒláiwǎnle。.
늦지 않았어. 넌 시간 맞춰 왔는걸.	刘京：不晚，你来得正合适。	bùwǎn，nǐláidezhènghéshì.
아이고, 땀까지 흘리며 뛰어왔구나.	王兰：哎呀，你跑得都出汗了。	āiyā，nǐpǎodedōuchūhànle
어서 앉아서 찬 음료수 좀 마셔.	玛丽：快坐下，喝点儿冷饮吧。	kuàizuòxià，hēdiǎnerlěngyǐnbā
너 여권을 트렁크 안에 넣지 않았지?	刘京：你没把护照放在箱子里吧?	nǐméibǎhùzhàofàngzàixiāngzilǐbā?
몸에 지니고 있어.	玛丽：我随身带着呢。	wǒsuíshēndàizhene。
들어가야겠다.	王兰：你该进去了。	nǐgāijìnqùle
잠시 후에 출국수속도 밟아야 하니까.	丽英: 一会儿还要办出境手续呢。	yíhuìerháiyào办bànchūjìngshǒuxùne。.
	80	
너에게 짐을 줄게 잘들어. 세관검사 준비해.	给你行李拿好。准备 海关检查。	gěi nǐ xíngli ná hǎo。zhǔnbèi Hǎiguān jiǎnchá。
조심해서 가.	一路上 多保重。	Yílùshàng duō bǎozhòng。
네게 바랄게. 자주 우리와 연락하자!	希望你 常跟我们 联系。	xīwàng nǐ cháng gēn wǒmen liánxì。
우리 절대 잊지마!	你 可别把 我们 忘了。	nǐ kě bié bǎ wǒmen wàngle 。
그럴리 없지. 그곳에 도착하면 바로 전화할게.	不会的 我到了那儿 就给你们打电话。	búhuì de wǒ dàole nàer jiù gěi nǐmen dǎdiànhuà。
가족들에게 안부 전해줘!	问候你 全家人。	wènhòu nǐ quánjiārén。
안니양에게 안부 전해줘!	问 安妮小姐好。	wèn ānnī xiǎojiě hǎo。
편안한 여행이 되길 빌게!	祝你 一路平安!	zhù nǐ yílùpíng'ān!
잘있어!	再见了!	zàijiànle!
잘가!	再见!	zàijiàn!
		Loading...
		Loading...
